graph,n,original_edges,spanner_edges,k,stretch,selected_edges,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
cycle_threshold_n10,10,10,10,1,1.0,10,0.0,10.0,10.0,9.0,1.0,0,0,1.111111,1.0,1.0,100.0,0.1,,,cycle_threshold,1.0,100.0,0.1,
cycle_threshold_n10,10,10,10,2,3.0,10,0.0,10.0,10.0,9.0,1.0,0,0,1.111111,3.0,0.333333,31.622777,0.316228,18.0,0.555556,cycle_threshold,1.0,31.622777,0.316228,0.555556
cycle_threshold_n10,10,10,10,3,5.0,10,0.0,10.0,10.0,9.0,1.0,0,0,1.111111,5.0,0.2,21.544347,0.464159,13.5,0.740741,cycle_threshold,1.0,21.544347,0.464159,0.740741
cycle_threshold_n10,10,10,10,4,7.0,10,0.0,10.0,10.0,9.0,1.0,0,0,1.111111,7.0,0.142857,17.782794,0.562341,12.0,0.833333,cycle_threshold,1.0,17.782794,0.562341,0.833333
cycle_threshold_n10,10,10,9,5,9.0,9,10.0,10.0,9.0,9.0,9.0,0,0,1.0,9.0,1.0,15.848932,0.567862,11.25,0.8,cycle_threshold,0.9,15.848932,0.567862,0.8
random_tree_n60_seed210,60,59,59,1,1.0,59,0.0,2492.0,2492.0,2492.0,1.0,0,0,1.0,1.0,1.0,3600.0,0.016389,,,tree,1.0,3600.0,0.016389,
random_tree_n60_seed210,60,59,59,2,3.0,59,0.0,2492.0,2492.0,2492.0,1.0,0,0,1.0,3.0,0.333333,464.758002,0.126948,118.0,0.5,tree,1.0,464.758002,0.126948,0.5
random_tree_n60_seed210,60,59,59,3,5.0,59,0.0,2492.0,2492.0,2492.0,1.0,0,0,1.0,5.0,0.2,234.892058,0.251179,88.5,0.666667,tree,1.0,234.892058,0.251179,0.666667
random_tree_n60_seed210,60,59,59,4,7.0,59,0.0,2492.0,2492.0,2492.0,1.0,0,0,1.0,7.0,0.142857,166.989461,0.353316,78.666667,0.75,tree,1.0,166.989461,0.353316,0.75
random_tree_n60_seed210,60,59,59,5,9.0,59,0.0,2492.0,2492.0,2492.0,1.0,0,0,1.0,9.0,0.111111,136.075989,0.433581,73.75,0.8,tree,1.0,136.075989,0.433581,0.8
random_tree_n100_seed211,100,99,99,1,1.0,99,0.0,4812.0,4812.0,4812.0,1.0,0,0,1.0,1.0,1.0,10000.0,0.0099,,,tree,1.0,10000.0,0.0099,
random_tree_n100_seed211,100,99,99,2,3.0,99,0.0,4812.0,4812.0,4812.0,1.0,0,0,1.0,3.0,0.333333,1000.0,0.099,198.0,0.5,tree,1.0,1000.0,0.099,0.5
random_tree_n100_seed211,100,99,99,3,5.0,99,0.0,4812.0,4812.0,4812.0,1.0,0,0,1.0,5.0,0.2,464.158883,0.213289,148.5,0.666667,tree,1.0,464.158883,0.213289,0.666667
random_tree_n100_seed211,100,99,99,4,7.0,99,0.0,4812.0,4812.0,4812.0,1.0,0,0,1.0,7.0,0.142857,316.227766,0.313065,132.0,0.75,tree,1.0,316.227766,0.313065,0.75
random_tree_n100_seed211,100,99,99,5,9.0,99,0.0,4812.0,4812.0,4812.0,1.0,0,0,1.0,9.0,0.111111,251.188643,0.394126,123.75,0.8,tree,1.0,251.188643,0.394126,0.8
