graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,edge_density,er_probability,is_large_random_er,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,426,4,7.0,94.855694,416725.0,1478.0,1352.0,7.0,0,348,1.093195,7.0,1.0,1788.854382,0.238141,,,random_er,0.1037719298245614,0.1,True,0.05144306243207342,1788.854382,0.238141,
random_connected_er_p010_n400_p0.100_rep1_seed44000,400,8281,412,5,9.0,95.024755,416725.0,1411.0,1352.0,9.0,0,336,1.043639,9.0,1.0,1325.781607,0.31076,,,random_er,0.1037719298245614,0.1,True,0.04975244535684096,1325.781607,0.31076,
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,1482,1,1.0,81.966415,414885.0,15082.0,1312.0,1.0,0,624,11.495427,1.0,1.0,160000.0,0.009263,,,random_er,0.10298245614035088,0.1,True,0.18033584813823314,160000.0,0.009263,
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,563,2,3.0,93.149185,414885.0,2335.0,1312.0,3.0,0,407,1.779726,3.0,1.0,8000.0,0.070375,,,random_er,0.10298245614035088,0.1,True,0.06850815283523971,8000.0,0.070375,
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,454,3,5.0,94.475541,414885.0,1591.0,1312.0,5.0,0,357,1.212652,5.0,1.0,2947.225199,0.154043,,,random_er,0.10298245614035088,0.1,True,0.05524458505719153,2947.225199,0.154043,
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,426,4,7.0,94.816257,414885.0,1439.0,1312.0,7.0,0,347,1.096799,7.0,1.0,1788.854382,0.238141,,,random_er,0.10298245614035088,0.1,True,0.05183743003163787,1788.854382,0.238141,
random_connected_er_p010_n400_p0.100_rep2_seed44001,400,8218,412,5,9.0,94.986615,414885.0,1372.0,1312.0,9.0,0,322,1.045732,9.0,1.0,1325.781607,0.31076,,,random_er,0.10298245614035088,0.1,True,0.05013385251886104,1325.781607,0.31076,
random_connected_er_p010_n400_p0.100_rep3_seed44002,400,8266,1397,1,1.0,83.099444,418510.0,13381.0,1290.0,1.0,0,601,10.372868,1.0,1.0,160000.0,0.008731,,,random_er,0.10358395989974938,0.1,True,0.16900556496491653,160000.0,0.008731,
random_connected_er_p010_n400_p0.100_rep3_seed44002,400,8266,568,2,3.0,93.128478,418510.0,2294.0,1290.0,3.0,0,420,1.778295,3.0,1.0,8000.0,0.071,,,random_er,0.10358395989974938,0.1,True,0.06871521896927171,8000.0,0.071,
random_connected_er_p010_n400_p0.100_rep3_seed44002,400,8266,458,3,5.0,94.459231,418510.0,1577.0,1290.0,5.0,0,351,1.222481,5.0,1.0,2947.225199,0.1554,,,random_er,0.10358395989974938,0.1,True,0.05540769416888459,2947.225199,0.1554,
random_connected_er_p010_n400_p0.100_rep3_seed44002,400,8266,423,4,7.0,94.882652,418510.0,1399.0,1290.0,7.0,0,337,1.084496,7.0,1.0,1788.854382,0.236464,,,random_er,0.10358395989974938,0.1,True,0.051173481732397774,1788.854382,0.236464,
