graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
random_connected_er_p005_n400_p0.050_rep3_seed43002,400,4305,450,3,5.000000,89.547038,218489.000000,3087.000000,2567.000000,5.000000,0,179,1.202571,5.000000,1.000000,2947.225199,0.152686,NaN,NaN
random_connected_er_p005_n400_p0.050_rep3_seed43002,400,4305,413,4,7.000000,90.406504,218489.000000,2681.000000,2567.000000,7.000000,0,174,1.044410,7.000000,1.000000,1788.854382,0.230874,NaN,NaN
random_connected_er_p005_n400_p0.050_rep3_seed43002,400,4305,407,5,9.000000,90.545877,218489.000000,2629.000000,2567.000000,8.454545,0,168,1.024153,9.000000,0.939394,1325.781607,0.306989,NaN,NaN
random_connected_er_p005_n800_p0.050_rep1_seed83000,800,16696,3301,1,1.000000,80.228797,838811.000000,35834.000000,2683.000000,1.000000,0,2738,13.355945,1.000000,1.000000,640000.000000,0.005158,NaN,NaN
random_connected_er_p005_n800_p0.050_rep1_seed83000,800,16696,1242,2,3.000000,92.561092,838811.000000,5500.000000,2683.000000,3.000000,0,1835,2.049944,3.000000,1.000000,22627.416998,0.054889,NaN,NaN
random_connected_er_p005_n800_p0.050_rep1_seed83000,800,16696,964,3,5.000000,94.226162,838811.000000,3569.000000,2683.000000,5.000000,0,1610,1.330227,5.000000,1.000000,7426.542134,0.129805,NaN,NaN
random_connected_er_p005_n800_p0.050_rep1_seed83000,800,16696,875,4,7.000000,94.759224,838811.000000,3051.000000,2683.000000,7.000000,0,1492,1.137160,7.000000,1.000000,4254.636718,0.205658,NaN,NaN
random_connected_er_p005_n800_p0.050_rep1_seed83000,800,16696,840,5,9.000000,94.968855,838811.000000,2873.000000,2683.000000,9.000000,0,1423,1.070816,9.000000,1.000000,3045.846302,0.275785,NaN,NaN
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,3268,1,1.000000,80.306135,833860.000000,35719.000000,2699.000000,1.000000,0,2656,13.234161,1.000000,1.000000,640000.000000,0.005106,NaN,NaN
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,1245,2,3.000000,92.497288,833860.000000,5572.000000,2699.000000,3.000000,0,1751,2.064468,3.000000,1.000000,22627.416998,0.055022,NaN,NaN
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,952,3,5.000000,94.262987,833860.000000,3493.000000,2699.000000,5.000000,0,1537,1.294183,5.000000,1.000000,7426.542134,0.128189,NaN,NaN
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,870,4,7.000000,94.757141,833860.000000,3028.000000,2699.000000,7.000000,0,1464,1.121897,7.000000,1.000000,4254.636718,0.204483,NaN,NaN
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,834,5,9.000000,94.974087,833860.000000,2847.000000,2699.000000,8.857143,0,1431,1.054835,9.000000,0.984127,3045.846302,0.273816,NaN,NaN
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,3244,1,1.000000,80.706554,848661.000000,35572.000000,2665.000000,1.000000,0,2716,13.347842,1.000000,1.000000,640000.000000,0.005069,NaN,NaN
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,1228,2,3.000000,92.696562,848661.000000,5450.000000,2665.000000,3.000000,0,1824,2.045028,3.000000,1.000000,22627.416998,0.054270,NaN,NaN
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,939,3,5.000000,94.415368,848661.000000,3377.000000,2665.000000,5.000000,0,1607,1.267167,5.000000,1.000000,7426.542134,0.126438,NaN,NaN
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,861,4,7.000000,94.879267,848661.000000,2946.000000,2665.000000,7.000000,0,1506,1.105441,7.000000,1.000000,4254.636718,0.202367,NaN,NaN
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,826,5,9.000000,95.087427,848661.000000,2779.000000,2665.000000,9.000000,0,1453,1.042777,9.000000,1.000000,3045.846302,0.271189,NaN,NaN
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,620,1,1.000000,71.014493,109147.000000,10416.000000,1183.000000,1.000000,0,70,8.804734,1.000000,1.000000,40000.000000,0.015500,NaN,NaN
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,254,2,3.000000,88.125292,109147.000000,1790.000000,1183.000000,3.000000,0,45,1.513102,3.000000,1.000000,2828.427125,0.089803,NaN,NaN
random_connected_er_p010_n200_p0.100_rep1_seed24000,200,2139,214,3,5.000000,89.995325,109147.000000,1326.000000,1183.000000,4.750000,0,41,1.120879,5.000000,0.950000,1169.607095,0.182967,NaN,NaN
